departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
10,1860,1530,464,777,F9,20436,15356,TTN,11433,DTW,6,722,2019,6
62,7936,6302,624,5225,AA,19805,11298,DFW,11423,DSM,6,698,2019,9
70,3500,2909,73,1247,AX,20237,11292,DEN,11109,COS,6,675,2018,3
1,143,135,1782,261,WN,19393,13180,MBJ,13342,MKE,6,612,2019,9
27,4725,4363,1703,5360,WN,19393,11292,DEN,11697,FLL,6,614,2018,1
34,4862,3951,775,3235,WN,19393,12889,LAS,12896,LBB,6,612,2018,5
1,9,7,0,8,8V,20333,12214,HSL,12214,HSL,4,416,2019,5
1,124,121,1721,200,AS,19930,14747,SEA,13930,ORD,6,612,2018,7
4,664,590,934,557,UA,19977,12073,HAV,12266,IAH,6,614,2019,7
1,168,121,323,52,SY,20422,14113,PIH,13127,LWS,6,614,2018,10
8,1461,1255,1452,1602,G4,20368,10408,ATW,10466,AZA,6,694,2018,11
3,546,517,1587,630,F9,20436,10693,BNA,12889,LAS,6,694,2019,5
5,0,0,4344,0,RU,21487,13930,ORD,11760,FRA,8,821,2019,10
1,9,6,55,0,13Q,21437,15014,STJ,13122,LWC,6,686,2019,6
7,1225,1025,1910,1433,WN,19393,12889,LAS,14122,PIT,6,614,2019,2
1,0,0,3912,432,WI,20195,13303,MIA,10209,AGT,7,740,2018,11
45,0,0,432,2724,FX,20107,12339,IND,10397,ATL,6,626,2019,3
16,2288,1886,2335,4290,WN,19393,14747,SEA,10821,BWI,6,612,2018,3
83,6308,5836,1034,11817,YV,20378,12266,IAH,13487,MSP,6,673,2018,5
78,7800,6511,563,7543,B6,20409,10721,BOS,11042,CLE,6,678,2019,1
109,5450,4861,1091,14484,EV,20366,12266,IAH,11042,CLE,6,675,2018,2
2,0,0,121,88,FX,20107,10821,BWI,14524,RIC,6,691,2018,2
47,0,0,222,2678,FX,20107,13264,MFR,14057,PDX,1,110,2018,12
1,16,0,716,161,KO,20341,10299,ANC,11845,GAM,4,405,2019,5
8,1024,696,930,971,AA,19805,13487,MSP,11057,CLT,6,698,2018,2
15,90,13,67,507,GV,20455,12708,KKH,10551,BET,0,35,2018,12
