departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
4,616,567,2214,1112,UA,19977,13930,ORD,14838,SJO,6,614,2015,6
6,300,247,455,450,YV,20378,14689,SBA,14107,PHX,6,629,2016,12
1,126,30,429,60,UA,19977,12266,IAH,15370,TUL,6,612,2018,8
6,300,272,191,229,EV,20366,14683,SAT,12266,IAH,6,675,2015,12
1,9,0,77,28,8V,20333,14474,RBY,13768,NUL,4,416,2019,10
0,0,0,84,0,KH,21634,12758,KOA,13830,OGG,4,459,2016,3
2,336,32,496,153,XP,20207,14683,SAT,11540,ELP,6,617,2018,2
13,988,770,475,1166,QX,19687,15041,SUN,14747,SEA,4,482,2017,10
29,0,0,929,3208,FX,20107,13244,MEM,15096,SYR,6,622,2017,11
145,7250,5497,419,9964,EV,20366,11042,CLE,12953,LGA,6,675,2017,11
6,936,784,518,432,G4,20368,10135,ABE,13577,MYR,6,698,2019,9
1,0,0,214,41,FX,20107,10397,ATL,10693,BNA,6,622,2016,1
1,157,125,846,95,DL,19790,11298,DFW,14696,SBN,6,694,2018,12
27,0,0,1834,6749,5X,19917,14730,SDF,10800,BUR,6,691,2015,11
11,176,62,792,1974,KO,20341,10299,ANC,11445,DUT,4,405,2019,10
20,0,0,234,1221,EM,20263,12819,KTN,12523,JNU,4,442,2015,12
11,1650,1238,643,1026,UA,19977,13198,MCI,12266,IAH,6,694,2016,6
1,0,0,163,36,L2,20169,13873,OME,15049,SVA,5,556,2017,7
30,8010,6031,5012,15948,UA,19977,12266,IAH,10292,AMS,6,627,2017,4
1,9,5,163,51,8E,20331,15049,SVA,13873,OME,1,194,2017,7
21,3360,2393,1469,3694,DL,19790,11874,GDL,10397,ATL,6,614,2018,10
27,4326,3897,1703,5355,UA,19977,11292,DEN,11697,FLL,6,614,2016,1
1,50,39,738,96,AJQ,20354,14730,SDF,10529,BDL,6,675,2016,11
1,50,0,17,11,EV,20366,11618,EWR,12953,LGA,6,675,2015,11
27,3861,2748,255,1289,WN,19393,12073,HAV,11697,FLL,6,612,2018,11
2,0,0,1235,0,RU,21487,12892,LAX,11298,DFW,8,820,2019,12
51,7293,5329,447,3417,WN,19393,11066,CMH,10397,ATL,6,612,2017,7
1,0,0,159,36,FX,20107,12223,HTS,14574,ROA,6,622,2017,5
1,175,69,484,70,WN,19393,15016,STL,10397,ATL,6,838,2019,2
