month,airline_id,carrier,carrier_name,total_gallons,total_cost,year
10,19930.0,AS,Alaska Airlines Inc.,59541567.0,151392652,2018
7,20453.0,ABX,ABX Air Inc,16240.0,52942,2015
7,21352.0,0WQ,Avjet Corporation,0.0,0,2018
4,20416.0,NK,Spirit Air Lines,20331870.0,36494638,2015
8,20402.0,GL,Miami Air International,340747.0,773578,2016
10,20377.0,X9,Omni Air International LLC,4107690.0,8424616,2017
2,20151.0,M6,Amerijet International,1646861.0,2970251,2017
8,20169.0,L2,Lynden Air Cargo Airlines,212215.0,468035,2017
4,19690.0,HA,Hawaiian Airlines Inc.,18281495.0,31763253,2015
12,19790.0,DL,Delta Air Lines Inc.,275489241.0,675360855,2018
3,20398.0,MQ,Envoy Air,0.0,0,2016
3,20397.0,OH,PSA Airlines Inc.,0.0,0,2019
6,19393.0,WN,Southwest Airlines Co.,179131347.0,357969700,2019
1,20007.0,5Y,Atlas Air Inc.,43050935.0,85389693,2018
3,20500.0,G7,GoJet Airlines LLC d/b/a United Express,0.0,0,2017
11,21167.0,CP,Compass Airlines,0.0,0,2015
11,20363.0,9E,Endeavor Air Inc.,0.0,0,2018
7,20378.0,YV,Mesa Airlines Inc.,0.0,0,2018
9,19805.0,AA,American Airlines Inc.,303854847.0,582240436,2019
5,20177.0,PFQ,Asia Pacific,363290.0,834670,2019
8,20436.0,F9,Frontier Airlines Inc.,26032547.0,47369606,2019
8,19790.0,DL,Delta Air Lines Inc.,335216652.0,535785231,2017
2,20366.0,EV,ExpressJet Airlines Inc.,86846.0,261655,2015
1,20372.0,KLQ,Kalitta Charters II,168862.0,456596,2018
3,19790.0,DL,Delta Air Lines Inc.,299952005.0,609257127,2019
11,20372.0,KLQ,Kalitta Charters II,279709.0,582436,2015
2,20453.0,ABX,ABX Air Inc,252917.0,554065,2016
7,20370.0,KAQ,Kalitta Air LLC,6182863.0,14861108,2018
4,20366.0,EV,ExpressJet Airlines Inc.,100179.0,274593,2017
8,21161.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",980418.0,2860293,2019
12,20107.0,FX,Federal Express Corporation,109744410.0,205450810,2017
7,20409.0,B6,JetBlue Airways,76885689.0,176866669,2018
1,20304.0,OO,SkyWest Airlines Inc.,8150037.0,17779528,2019
11,20287.0,WP,Island Air Hawaii,160589.0,243396,2016
12,20409.0,B6,JetBlue Airways,74132762.0,148470547,2018
9,20398.0,MQ,Envoy Air,0.0,0,2017
1,21629.0,KD,Western Global,1084109.0,2057497,2018
5,20372.0,KLQ,Kalitta Charters II,265314.0,566479,2017
9,19874.0,8C,Air Transport International,667016.0,1975372,2015
12,20368.0,G4,Allegiant Air,14608670.0,30074947,2018
10,20046.0,ZW,Air Wisconsin Airlines Corp,12882.0,43480,2017
10,19977.0,UA,United Air Lines Inc.,271744160.0,406517958,2015
6,20398.0,MQ,Envoy Air,0.0,0,2017
2,20100.0,PO,Polar Air Cargo Airways,12413729.0,24666410,2018
9,20107.0,FX,Federal Express Corporation,95801784.0,167707000,2017
2,20500.0,G7,GoJet Airlines LLC d/b/a United Express,0.0,0,2018
10,20287.0,WP,Island Air Hawaii,162251.0,241206,2016
5,20405.0,N8,National Air Cargo Group Inc d/ba National Airlines,1165113.0,3461525,2019
4,21352.0,0WQ,Avjet Corporation,265278.0,799192,2015
3,20378.0,YV,Mesa Airlines Inc.,0.0,0,2015
1,21974.0,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",0.0,0,2019
2,19690.0,HA,Hawaiian Airlines Inc.,17799491.0,31857916,2015
5,20370.0,KAQ,Kalitta Air LLC,6010657.0,14585002,2018
11,20308.0,WE,Centurion Cargo Inc.,751511.0,1186434,2015
11,20500.0,G7,GoJet Airlines LLC d/b/a United Express,0.0,0,2015
11,20397.0,OH,PSA Airlines Inc.,0.0,0,2015
5,20377.0,X9,Omni Air International LLC,2772831.0,5146794,2017
3,20447.0,U7,USA Jet Airlines Inc.,486451.0,927362,2015
6,20453.0,ABX,ABX Air Inc,133419.0,0,2019
7,20308.0,WE,Centurion Cargo Inc.,426941.0,693189,2016
2,20207.0,XP,XTRA Airways,462446.0,920034,2017
8,20372.0,KLQ,Kalitta Charters II,114311.0,306425,2019
